doctor,link
دکتر ناهیده حسنی خیابانی,https://sympad.ir/doctor/15/0/%D9%86%D8%A7%D9%87%DB%8C%D8%AF%D9%87-%D8%AD%D8%B3%D9%86%DB%8C-%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86%DB%8C
دکتر آیدین تبریزی,https://sympad.ir/doctor/23/0/%D8%A2%DB%8C%D8%AF%DB%8C%D9%86-%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2%DB%8C
دکتر ناصر صفایی,https://sympad.ir/doctor/33/0/%D9%86%D8%A7%D8%B5%D8%B1-%D8%B5%D9%81%D8%A7%DB%8C%DB%8C
دکتر حسن شاهرخی,https://sympad.ir/doctor/34/0/%D8%AD%D8%B3%D9%86-%D8%B4%D8%A7%D9%87%D8%B1%D8%AE%DB%8C
دکتر محمد حسین صومی,https://sympad.ir/doctor/35/0/%D9%85%D8%AD%D9%85%D8%AF-%D8%AD%D8%B3%DB%8C%D9%86-%D8%B5%D9%88%D9%85%DB%8C
دکتر جلیل ملکی,https://sympad.ir/doctor/36/0/%D8%AC%D9%84%DB%8C%D9%84-%D9%85%D9%84%DA%A9%DB%8C
دکتر علیرضا نیک نیاز,https://sympad.ir/doctor/37/0/%D8%B9%D9%84%DB%8C%D8%B1%D8%B6%D8%A7-%D9%86%DB%8C%DA%A9-%D9%86%DB%8C%D8%A7%D8%B2
دکتر لیلا نیک نیاز,https://sympad.ir/doctor/38/0/%D9%84%DB%8C%D9%84%D8%A7-%D9%86%DB%8C%DA%A9-%D9%86%DB%8C%D8%A7%D8%B2
دکتر علی بهاری,https://sympad.ir/doctor/39/0/%D8%B9%D9%84%DB%8C-%D8%A8%D9%87%D8%A7%D8%B1%DB%8C
دکتر زینب نیک نیاز,https://sympad.ir/doctor/95/0/%D8%B2%DB%8C%D9%86%D8%A8-%D9%86%DB%8C%DA%A9-%D9%86%DB%8C%D8%A7%D8%B2
دکتر سپیده طهرانی قدیم,https://sympad.ir/doctor/121/0/%D8%B3%D9%BE%DB%8C%D8%AF%D9%87-%D8%B7%D9%87%D8%B1%D8%A7%D9%86%DB%8C-%D9%82%D8%AF%DB%8C%D9%85
دکتر مسعود شیرمحمدی,https://sympad.ir/doctor/122/0/%D9%85%D8%B3%D8%B9%D9%88%D8%AF-%D8%B4%DB%8C%D8%B1%D9%85%D8%AD%D9%85%D8%AF%DB%8C
دکتر مهدی فرهودی,https://sympad.ir/doctor/124/0/%D9%85%D9%87%D8%AF%DB%8C-%D9%81%D8%B1%D9%87%D9%88%D8%AF%DB%8C
دکتر سمانه حسینی,https://sympad.ir/doctor/125/0/%D8%B3%D9%85%D8%A7%D9%86%D9%87-%D8%AD%D8%B3%DB%8C%D9%86%DB%8C
دکتر طاهر انتظاری ملکی,https://sympad.ir/doctor/127/0/%D8%B7%D8%A7%D9%87%D8%B1-%D8%A7%D9%86%D8%AA%D8%B8%D8%A7%D8%B1%DB%8C-%D9%85%D9%84%DA%A9%DB%8C
دکتر سیف اله حیدر آبادی,https://sympad.ir/doctor/128/0/%D8%B3%DB%8C%D9%81-%D8%A7%D9%84%D9%87-%D8%AD%DB%8C%D8%AF%D8%B1-%D8%A2%D8%A8%D8%A7%D8%AF%DB%8C
دکتر زهرا صلاح زاده,https://sympad.ir/doctor/133/0/%D8%B2%D9%87%D8%B1%D8%A7-%D8%B5%D9%84%D8%A7%D8%AD-%D8%B2%D8%A7%D8%AF%D9%87
دکتر مهدیه عباسعلیزاد فرهنگی,https://sympad.ir/doctor/134/0/%D9%85%D9%87%D8%AF%DB%8C%D9%87-%D8%B9%D8%A8%D8%A7%D8%B3%D8%B9%D9%84%DB%8C%D8%B2%D8%A7%D8%AF-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C
دکتر بهرام سهرابی,https://sympad.ir/doctor/135/0/%D8%A8%D9%87%D8%B1%D8%A7%D9%85-%D8%B3%D9%87%D8%B1%D8%A7%D8%A8%DB%8C
دکتر عباس افراسیابی,https://sympad.ir/doctor/137/0/%D8%B9%D8%A8%D8%A7%D8%B3-%D8%A7%D9%81%D8%B1%D8%A7%D8%B3%DB%8C%D8%A7%D8%A8%DB%8C
دکتر هادی همیشه کار,https://sympad.ir/doctor/142/0/%D9%87%D8%A7%D8%AF%DB%8C-%D9%87%D9%85%DB%8C%D8%B4%D9%87-%DA%A9%D8%A7%D8%B1
